F239CDD0-6ABC-4E85-8155-849BFED176DD;2023-01-02 08:25:00.000;2023-01-02 10:54:00.000;149
140D7CE9-2398-4B37-BF23-E597E20E1234;2023-01-07 07:00:00.000;2023-01-07 09:24:00.000;144
5680A0F5-83E4-4AB1-94D3-427C75B6CA33;2023-01-11 08:25:00.000;2023-01-12 16:11:00.000;1906
111ADE95-8574-41F6-9BF9-2B67EF7A95C6;2023-01-15 07:54:00.000;2023-01-15 17:11:00.000;557
9ACC3111-44AF-4292-926E-4661533CEC10;2023-01-19 03:29:00.000;2023-01-19 07:19:00.000;230
AED1F5C4-0302-4541-886C-584F8D7BAFD4;2023-01-19 05:12:00.000;2023-01-19 16:47:00.000;695
C8D59FD5-A8B0-4A8C-A957-F1CEEABA7EFC;2023-01-22 07:08:00.000;2023-01-22 18:18:00.000;670
63C274E2-FF8F-48BE-9430-D0099841D0CE;2023-01-22 08:15:00.000;2023-01-22 16:33:00.000;498
8023F211-A03E-4A6A-9DF7-3E088F3BD1BD;2023-01-25 08:03:00.000;2023-01-25 16:02:00.000;479
78600FF0-ABFF-4154-87B9-47180890E6B9;2023-01-28 06:19:00.000;2023-01-28 15:30:00.000;551
3A31CD26-EBF3-4A72-BF18-3D76F55655FC;2023-01-31 00:03:00.000;2023-01-31 04:31:00.000;268
D05B54E3-8C01-490F-B9DB-B13A9F4BB8D7;2023-01-31 03:38:00.000;2023-01-31 05:39:00.000;121
8E4DB99F-E4AB-406B-9034-A5BF1E1665A1;2023-02-01 07:09:00.000;2023-02-01 16:44:00.000;575
E1B50D7E-9ECA-4DF4-890D-CFA2B6C970C1;2023-02-02 00:18:00.000;2023-02-02 05:25:00.000;307
4CE784EE-65E4-4168-BDFE-8B64BD300EAA;2023-02-02 07:28:00.000;2023-02-02 09:24:00.000;116
77BEE62F-612C-40BC-B8C7-5C4A547C2328;2023-02-04 07:37:00.000;2023-02-04 16:12:00.000;515
BAA8A8EF-F082-42DB-BCA0-CC851F318378;2023-02-05 05:15:00.000;2023-02-05 07:53:00.000;158
14D77E1B-0EE7-473C-9AA3-62DDBF2A4431;2023-02-08 07:35:00.000;2023-02-08 12:44:00.000;309
4F8F1F3C-CC15-4CE4-83A8-0B21806528E4;2023-02-12 07:53:00.000;2023-02-12 16:20:00.000;507
4592F955-D4C0-425B-8D9F-27B64019C189;2023-02-12 08:15:00.000;2023-02-12 14:05:00.000;350
4D6AA979-6948-44E5-8AE9-84055A94F4E6;2023-02-14 09:34:00.000;2023-02-14 11:20:00.000;106
A47D7EBD-BF11-450F-9725-C86375E38DEA;2023-02-19 08:05:00.000;2023-02-19 10:15:00.000;130
E0991600-E200-4AC5-B956-72C797B539C3;2023-02-24 07:41:00.000;2023-02-24 12:56:00.000;315
